Country Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,,,,,,"[30.6, 3.2, 29.981, 3.5]",,,,,,,,,,,,,,,,,,,,
Armenia,,,,,,"[36.0, 2.712, 35.735, 4.0]","[29.7, 2.716, 35.127, 4.0]","[31.2, 3.019, 33.572, 4.0]","[29.2, 3.173, 32.479, 4.0]","[28.0, 3.841, 32.969, 4.0]","[30.0, 3.249, 34.265, 4.0]","[29.4, 3.144, 34.143, 4.0]","[29.6, 2.772, 35.338, 4.0]","[30.6, 2.65, 37.043, 4.5]",,,,,,,,,,,,
Azerbaijan,,,,,,"[26.6, 2.975, 24.423, 3.5]",,,,,,,,,,,,,,,,,,,,
Burundi,,,,,,,,,,,,,,"[38.6, 5.995, 20.593, 3.0]",,,,,,,"[37.5, 5.322, 20.469, 3.0]",,,,,
Benin,,,,,,,,,,,,,,,,"[47.6, 3.173, 37.587, 3.5]",,,"[37.9, 2.932, 41.941, 3.5]",,,"[34.4, 3.097, 44.53, 4.0]",,,,
Burkina Faso,,,,,,,,,,,,,,,"[35.3, 4.053, 38.847, 3.5]",,,,"[43.0, 5.489, 44.666, 3.5]",,,"[37.4, 5.249, 43.756, 3.5]",,,,
Bangladesh,,,,,,,,,,,,,,,,,"[32.4, 1.282, 26.261, 3.0]",,,,,,"[30.9, 2.085, 24.003, 3.0]",,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,,,,,,,"[56.7, 6.434, 38.698, 2.5]","[54.5, 6.72, 38.139, 2.5]","[50.8, 6.723, 36.807, 2.5]","[49.2, 7.575, 36.747, 2.5]",,"[46.1, 6.451, 36.152, 2.5]","[46.6, 6.628, 33.708, 2.5]","[47.6, 6.803, 35.998, 2.5]","[47.8, 7.478, 34.881, 2.5]","[46.7, 8.143, 32.579, 2.5]",,,,,,,,,,
Bhutan,,,,,,,,,,,,,,,,,,"[37.4, 6.617, 77.229, 3.5]",,,,,"[28.5, 7.47, 75.324, 3.5]",,,
Central African Republic,,,,,,,,,"[56.2, 1.29, 24.638, 2.0]",,,,,,,,,,,,,"[43.0, 1.873, 21.211, 2.0]",,,,
Cote d'Ivoire,,,,,,,,,"[43.2, 3.099, 29.289, 3.0]",,,,,,,"[41.5, 3.494, 39.136, 3.0]",,,"[37.2, 3.212, 38.075, 3.5]",,,"[35.3, 3.327, 38.809, 3.5]",,,,
Cameroon,,,,,,,,"[42.8, 2.878, 31.106, 3.0]",,,,,,,"[46.6, 2.584, 23.969, 3.0]",,,,,,,"[42.2, 2.849, 25.272, 2.5]",,,,
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,"[44.7, 2.623, 18.357, 3.0]",,,,,
"Congo, Rep.",,,,,,"[47.3, 1.681, 25.434, 2.5]",,,,,,"[48.9, 2.647, 25.129, 2.5]",,,,,,,,,,,,,,
Comoros,,,,,,,,,,,,,,,"[45.3, 2.745, 31.539, 2.5]",,,,,,"[34.2, 2.378, 21.087, 3.0]",,,,,
Cabo Verde,,,,,,,,"[47.2, 4.96, 63.952, 3.5]",,,,,,,,"[42.4, 4.806, 65.849, 3.5]",,,,,,,,,,
Djibouti,,,,,,,,,,,,,"[45.1, 6.351, 36.765, 3.5]","[44.1, 4.648, 35.288, 3.5]",,,,"[41.6, 3.733, 32.384, 2.5]",,,,,,,,
Ethiopia,,,,,,,,,,,"[33.2, 4.497, 33.691, 3.5]",,,,,"[35.0, 4.738, 37.337, 3.5]",,,,,,"[31.1, 4.065, 39.752, 3.5]",,,,
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,"[40.1, 12.344, 46.988, 2.0]",,,,,,,,,,,,
Georgia,,,,,,"[37.4, 2.484, 50.475, 4.0]","[36.9, 3.004, 53.406, 4.5]","[38.1, 2.697, 49.117, 5.0]","[38.5, 2.92, 50.263, 5.5]","[38.2, 3.222, 50.665, 5.5]","[39.5, 2.762, 52.949, 5.5]","[39.6, 2.515, 54.284, 5.5]","[39.0, 1.86, 58.383, 5.5]","[38.6, 2.833, 58.753, 5.5]",,,,,,,,,,,,
Ghana,,,,,,"[42.8, 7.422, 39.355, 4.0]",,,,,,,"[42.4, 7.919, 47.489, 4.5]",,,,"[43.5, 4.395, 42.864, 4.0]",,,,,,,,,
Guinea,,,,,,,,,,,,,"[33.7, 1.834, 24.505, 2.5]",,,,,,"[29.6, 2.384, 25.234, 3.0]",,,,,,,
"Gambia, The",,,,,,,,,,,"[43.6, 2.563, 33.752, 3.5]",,,,,"[35.9, 2.16, 29.169, 3.5]",,,,,"[38.8, 2.887, 43.345, 3.0]",,,,,
Guinea-Bissau,,,,,,,,,,,"[50.6, 1.682, 25.135, 2.5]",,,,,,,,,,,,,,,
Grenada,,,,,,,,,,,,,,,,,,,"[43.8, 3.559, 56.289, 3.0]",,,,,,,
Honduras,,,,,,,,,,,,,"[53.4, 6.3, 25.68, 3.0]","[50.0, 5.875, 25.466, 3.0]","[49.9, 7.09, 28.309, 3.0]","[49.2, 6.413, 31.435, 3.0]","[49.8, 6.095, 29.146, 3.0]","[49.4, 5.744, 28.686, 3.0]","[48.9, 6.056, 28.229, 2.5]","[48.2, 5.982, 26.434, 2.5]",,,,"[46.8, 4.55, 25.603, 2.5]",,
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,
Indonesia,,,,,,"[29.9, 2.873, 24.877, 3.0]",,,,,,,,,,,,,,,,,,,,
India,,,,,,,,,,"[27.8, 3.278, 40.866, 3.5]",,"[28.8, 3.796, 37.922, 3.0]",,,,,,,,,,,,,,
Kenya,,,,,,"[46.4, 7.336, 26.681, 4.0]",,,,,,,,,,"[40.8, 4.743, 28.197, 3.5]",,,,,"[36.2, 5.046, 32.663, 4.0]","[38.7, 4.89, 33.467, 4.0]","[38.5, 4.511, 32.648, 4.0]",,,
Kyrgyz Republic,,,,,,"[32.6, 4.874, 20.696, 3.5]","[37.4, 5.55, 20.31, 3.5]","[33.9, 6.467, 20.927, 3.5]","[31.5, 5.913, 21.362, 4.0]","[29.9, 6.233, 20.674, 3.5]","[30.1, 5.819, 24.727, 3.5]","[27.8, 6.791, 23.345, 3.5]","[27.4, 7.384, 24.378, 3.5]","[28.8, 6.78, 24.075, 3.5]","[26.8, 5.532, 24.134, 3.5]","[29.0, 5.986, 23.41, 4.0]","[26.8, 6.586, 23.767, 4.0]","[27.3, 6.026, 24.408, 4.0]","[27.7, 5.553, 26.711, 3.5]","[29.7, 5.08, 27.964, 3.0]","[29.0, 5.733, 26.633, 3.0]","[28.8, 5.167, 24.408, 3.0]","[26.4, 7.169, 23.516, 3.0]","[27.2, 6.827, 23.635, 3.0]",,
Kiribati,,,,,,,,,,,,,,,,,,,,"[27.8, 14.52, 54.95, 2.5]",,,,"[24.7, 16.391, 54.571, 2.5]",,
Lao PDR,,,,,,,,"[35.4, 3.078, 22.002, 3.0]",,,,,"[36.0, 1.821, 24.683, 3.5]",,,,,,"[38.8, 2.335, 25.384, 3.0]",,,,,,,
Liberia,,,,,,,,,,,,,,,"[33.2, 2.2, 31.79, 3.0]",,"[35.3, 2.115, 30.699, 3.0]",,,,,,,,,
St. Lucia,,,,,,,,,,,,,,,,"[43.7, 3.881, 59.398, 4.5]",,,,,,,,,,
Sri Lanka,,,,,,,,,,"[36.1, 2.056, 43.973, 4.0]",,,"[38.7, 1.453, 41.648, 4.0]",,,,,,,,,,,,,
Lesotho,,,,,,,,,,,,,,,,,,"[44.9, 8.155, 48.805, 3.5]",,,,,,,,
Moldova,,,,,,"[36.3, 7.163, 29.001, 4.0]","[35.4, 7.499, 30.735, 3.5]","[34.4, 8.293, 31.032, 3.5]","[34.7, 8.237, 31.614, 3.5]","[32.9, 9.51, 32.222, 3.5]","[32.1, 7.592, 33.931, 3.5]","[30.6, 7.136, 34.628, 3.5]","[29.2, 6.983, 33.287, 3.5]","[28.5, 5.91, 31.429, 3.5]","[26.8, 6.338, 28.227, 3.5]","[27.0, 5.767, 26.833, 3.5]","[26.3, 5.672, 25.597, 3.5]","[25.9, 5.71, 28.884, 4.0]","[25.7, 5.539, 30.218, 4.0]","[26.0, 6.226, 32.202, 4.0]",,,,,,
Madagascar,,,,,,"[39.9, 3.31, 41.548, 4.0]",,,,,"[42.4, 2.289, 39.956, 3.0]",,"[42.6, 2.341, 35.46, 3.0]",,,,,,,,,"[36.8, 3.198, 28.679, 3.0]",,,,
Maldives,,,,,,,,,,"[38.4, 5.082, 36.882, 4.0]",,,,,,,"[31.3, 3.661, 32.374, 3.5]",,,"[29.3, 4.124, 37.314, 3.5]",,,,,,
Marshall Islands,,,,,,,,,,,,,,,,,,,,"[35.5, 9.882, 54.95, 2.5]",,,,,,
Mali,,,,,,,,,,"[33.0, 3.144, 37.481, 3.5]",,,,,,,,,"[36.0, 2.982, 32.778, 3.5]",,,"[35.7, 3.664, 29.71, 3.0]",,,,
Myanmar,,,,,,,,,,,,,,,,,,"[30.7, 2.167, 32.436, 2.5]",,,,,,,,
Mongolia,,,,,,,,"[35.8, 4.69, 34.844, 3.5]",,,"[33.1, 4.645, 35.142, 3.5]","[33.9, 4.609, 36.068, 3.5]","[33.8, 5.195, 35.591, 3.5]",,"[32.0, 4.715, 36.534, 3.5]",,"[32.3, 5.183, 35.5, 3.5]",,,,,,,,,
Mozambique,,,,,,,,,,,,,,,"[54.0, 6.399, 30.42, 3.0]",,,,,"[50.7, 6.0, 30.128, 3.0]",,,"[49.6, 5.976, 29.61, 3.0]",,,
Mauritania,,,,,,,,,,,,,,,"[32.6, 2.558, 29.204, 3.0]",,,,,"[32.0, 1.823, 27.998, 3.0]",,,,,,
Malawi,,,,,,,,,,,"[45.5, 2.432, 38.939, 3.0]",,,,,,"[44.7, 3.283, 31.1, 3.0]",,,,,,,,,
Niger,,,,,,,,"[37.3, 3.015, 34.08, 3.0]",,,,"[31.5, 3.078, 37.51, 3.0]",,,"[34.3, 5.104, 38.878, 3.0]",,,,"[37.3, 3.45, 38.803, 3.5]",,,"[32.9, 3.822, 36.454, 3.5]",,,,
Nigeria,,,,,,,,,,,,,"[35.5, 0.549, 24.644, 3.5]",,,"[35.9, 0.437, 24.346, 3.5]",,,"[35.1, 0.42, 24.672, 3.0]",,,,"[33.9, 0.349, 23.057, 3.5]",,,
Nicaragua,,,,,,,,,,,,,,,"[46.2, 4.083, 27.707, 3.5]",,,,,,,,,,,
Nepal,,,,,,,,,,,"[32.8, 3.632, 33.126, 3.0]",,,,,,,,,,,,"[30.0, 4.136, 34.656, 3.5]",,,
Pakistan,,,,,,"[31.3, 1.671, 26.109, 4.0]",,"[29.7, 2.235, 30.728, 4.0]",,,"[28.8, 2.053, 23.52, 3.5]","[29.7, 2.001, 23.153, 3.0]",,"[29.5, 2.237, 25.001, 3.0]",,"[31.3, 2.386, 27.996, 3.0]",,,"[29.6, 2.332, 28.34, 3.5]",,,,,,,
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,,,,,,,,,,,"[47.2, 4.631, 53.479, 4.0]",,,"[45.1, 4.742, 56.514, 4.5]",,,"[43.7, 3.435, 59.61, 4.5]",,,,,,,"[39.4, 4.92, 61.636, 4.5]",,
Sudan,,,,,,,,,,"[35.4, 2.022, 18.927, 3.0]",,,,,,,,,,,,,,,,
Senegal,,,,,,"[39.2, 4.064, 44.126, 3.5]",,,,,,"[40.3, 4.903, 40.326, 4.0]",,,,,,,"[38.3, 5.11, 48.404, 3.0]",,,"[36.2, 5.612, 48.585, 3.5]",,,,
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,,
Sierra Leone,,,,,,,,,,,,"[34.0, 1.615, 34.36, 3.0]",,,,,,,"[35.7, 4.468, 37.095, 3.0]",,,,,,,
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,
South Sudan,,,,,,,,,,,,,,,,,"[44.0, 1.565, 11.583, 2.0]",,,,,,,,,
Sao Tome and Principe,,,,,,,,,,,"[30.8, 9.988, 43.301, 2.5]",,,,,,,"[40.7, 5.875, 49.801, 3.0]",,,,,,,,
Suriname,,,,,,,,,,,,,,,,,,,,,,,,,,
Eswatini,,,,,,,,,,,,,,,,,,,,,,,,,,
Syrian Arab Republic,,,,,,,,,,,,,,,,,,,,,,,,,,
Chad,,,,,,,,,,,,"[43.3, 1.647, 20.214, 2.0]",,,,,,,"[37.5, 2.259, 18.294, 2.5]",,,,"[37.4, 2.602, 18.173, 2.5]",,,
Togo,,,,,,,"[42.2, 2.432, 26.155, 3.0]",,,,,"[46.0, 3.078, 30.655, 2.5]",,,,"[43.0, 3.711, 35.086, 3.0]",,,"[42.5, 4.092, 32.573, 3.5]",,,"[37.9, 4.227, 34.658, 3.5]",,,,
Tajikistan,,,,,,,,"[32.2, 3.413, 26.338, 3.5]",,"[30.8, 4.098, 22.185, 3.0]",,,,,,"[34.0, 4.968, 23.477, 3.0]",,,,,,"[32.4, 4.383, 25.843, 3.0]","[39.5, 5.398, 25.123, 3.0]","[38.0, 5.437, 25.111, 3.0]",,
Timor-Leste,,,,,,,,,,,,,,,"[28.7, 7.514, 34.7, 2.0]",,,,,,,,,,,
Tonga,,,,,,,,,,,,,,,,,,,,,,"[27.1, 5.163, 40.917, 3.0]",,,,
Tuvalu,,,,,,,,,,,,,,,,,,,,,,,,,,
Tanzania,,,,,,,,"[40.3, 4.033, 41.528, 3.5]",,,,"[37.8, 4.578, 37.193, 3.5]",,,,,,,"[40.5, 3.7, 40.981, 3.0]",,,,,,,
Uganda,,,,,,,,,,,,,"[41.0, 1.797, 30.513, 4.0]",,,,"[42.8, 2.138, 27.721, 4.0]",,,"[42.7, 2.308, 25.539, 3.0]",,,,,,
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,"[32.9, 4.136, 32.837, 3.5]","[31.2, 5.235, 33.703, 3.5]","[34.5, 5.473, 33.65, 3.5]",,
Viet Nam,,,,,,,,,"[35.6, 4.887, 40.649, 3.5]",,"[39.3, 4.046, 39.523, 3.5]",,"[35.6, 4.408, 38.492, 3.5]",,"[34.8, 3.54, 40.529, 3.5]",,,,,,,,,,,
Vanuatu,,,,,,,,,,,,,,,,,,,,"[32.3, 1.774, 44.107, 3.0]",,,,,,
Samoa,,,,,,,,,"[42.0, 5.117, 53.413, 3.5]",,,,,"[38.7, 4.615, 51.489, 3.5]",,,,,,,,,,,,
"Yemen, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,
Zambia,,,,,,,,,,,"[52.0, 3.416, 40.385, 3.5]",,,,,"[55.8, 4.624, 39.856, 3.5]",,,,,,,"[51.5, 3.659, 39.392, 4.0]",,,
Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,
