Country Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Angola,21.937,,21.457,21.072,23.102,21.661,21.606,21.937,22.15,22.098,20.994,20.149,18.718,18.284,17.767,17.781,17.731,19.095,23.934,28.326,29.803,34.867,35.646,35.219,35.253,
Albania,27.962,,27.606,27.452,32.564,29.981,33.792,34.188,34.823,36.227,37.655,33.9,31.204,31.347,34.174,35.983,37.609,36.391,35.971,36.955,34.507,35.669,37.725,38.462,39.338,
Armenia,31.163,,28.827,28.799,34.249,35.735,35.127,33.572,32.479,32.969,34.265,34.143,35.338,37.043,34.92,35.24,36.101,36.436,44.53,46.795,49.992,48.985,49.019,49.972,50.783,
Azerbaijan,19.891,,19.683,22.253,22.642,24.423,24.738,24.251,24.075,24.742,22.882,24.312,24.1,27.559,25.149,28.893,32.627,30.476,29.506,32.571,32.475,32.151,31.05,30.003,32.166,
Burundi,29.444,,33.672,33.633,28.459,26.411,26.254,24.822,24.612,23.938,22.737,22.452,19.557,20.593,22.217,22.378,21.732,21.285,18.208,18.087,20.469,19.707,21.065,21.702,18.252,
Benin,30.95,,30.834,30.794,37.544,33.591,39.194,41.009,40.624,38.788,37.75,37.824,34.143,36.239,35.556,37.587,39.079,39.715,41.941,42.999,47.141,44.53,45.612,45.734,42.982,
Burkina Faso,47.453,,47.366,47.113,41.945,41.754,41.18,40.503,40.99,39.985,40.128,40.818,40.26,38.706,38.847,41.199,43.376,44.767,44.666,43.789,43.77,43.756,43.114,42.835,42.743,
Bangladesh,24.78,,18.518,18.24,17.175,18.237,18.911,24.627,28.658,29.412,27.171,26.553,25.157,24.929,23.878,25.998,26.261,26.355,25.66,25.576,26.074,25.733,24.003,23.591,25.545,
Bosnia and Herzegovina,35.626,,40.337,40.41,38.977,39.414,40.883,39.124,38.769,39.25,38.469,37.706,39.638,41.315,40.684,37.888,38.374,36.176,34.891,34.925,35.211,34.313,34.089,35.742,37.474,
Belize,46.66,,46.473,46.409,45.817,44.878,42.367,42.234,48.158,52.902,51.544,46.479,46.331,46.333,42.042,42.452,45.355,43.824,45.664,46.324,46.33,46.035,46.925,45.507,44.608,
