Country Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Angola,2.608,,,,,2.12,2.281,,,,3.421,,3.082,4.439,,3.487,2.755,2.467,2.184,2.073,2.667,2.297,2.385,2.513,,
Albania,3.33,3.342,3.003,3.035,3.131,3.2,3.103,3.146,,,,3.179,3.295,3.534,3.182,3.413,3.92,3.547,3.082,3.87,3.325,3.006,2.73,3.092,,
Armenia,2.773,2.469,2.135,2.145,2.487,2.712,2.716,3.019,3.173,3.841,3.249,3.144,2.772,2.65,2.247,2.806,2.758,2.708,2.113,2.16,2.706,2.768,2.492,2.439,,
Azerbaijan,3.854,3.503,3.154,3.286,3.448,2.975,2.556,2.549,2.441,3.224,2.781,2.436,2.068,2.442,2.633,2.952,2.903,2.474,2.455,3.176,4.332,3.702,3.047,3.66,,
Burundi,2.645,2.904,3.005,,3.745,3.632,,,5.193,6.172,6.775,6.319,6.168,5.995,6.785,6.371,4.692,4.762,5.079,5.347,5.322,4.871,,,,4.504
Benin,2.114,2.365,2.159,2.283,2.567,2.657,2.563,2.363,2.777,3.089,3.68,,3.562,3.328,3.162,3.173,2.899,3.536,2.932,2.732,2.899,3.097,3.097,3.23,,
Burkina Faso,,,,,,3.941,3.982,4.08,,,3.502,3.985,3.603,4.083,4.053,3.67,,5.628,5.489,5.456,5.211,5.249,5.295,5.328,,
Bangladesh,2.125,2.172,2.017,2.069,1.94,,2.131,2.202,2.055,1.939,,2.133,2.175,1.966,2.099,1.872,1.282,2.113,2.095,1.131,2.14,2.171,2.085,2.162,2.034,
Bosnia and Herzegovina,,,,,,,,,,,,,,,3.315,3.018,4.265,2.839,3.893,4.044,3.02,4.136,2.97,3.246,,
Belize,3.684,4.235,,3.901,4.01,,,,4.3,4.801,5.243,5.518,5.474,5.125,5.14,5.357,5.726,5.951,6.128,5.964,5.213,5.963,4.604,4.231,4.623,
Bolivia,,,,,,,6.434,6.72,6.723,7.575,6.974,6.451,6.628,6.803,7.478,8.143,8.151,8.097,8.016,8.091,8.437,7.962,7.576,7.894,7.54,
Bhutan,5.787,5.45,,,6.123,6.764,,,4.57,4.419,3.823,4.317,,5.166,5.462,6.929,6.404,6.617,6.478,4.51,5.47,6.598,7.47,5.845,,
