Country Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Angola,51.9,,,,,,,,42.7,,,,,,,,,,51.3,,,,,,,
Albania,,,31.7,,,30.6,,,30.0,,,,29.0,,34.6,32.8,33.7,33.1,30.1,30.1,29.4,,,,,
Armenia,,35.4,34.8,33.0,37.5,36.0,29.7,31.2,29.2,28.0,30.0,29.4,29.6,30.6,31.5,32.4,32.5,33.6,34.4,30.0,25.1,27.9,27.9,27.2,27.4,
Azerbaijan,,36.5,25.3,26.8,26.6,26.6,,,,,,,,,,,,,,,,,,,,
Burundi,,,,,,,33.4,,,,,,,38.6,,,,,,,37.5,,,,,
Benin,,,,38.6,,,,,,,,43.4,,,,47.6,,,37.9,,,34.4,,,,
Burkina Faso,,,,43.3,,,,,,39.8,,,,,35.3,,,,43.0,,,37.4,,,,
Bangladesh,33.4,,,,,33.2,,,,,32.1,,,,,,32.4,,,,,,30.9,,,
Bosnia and Herzegovina,,30.0,,,34.0,,,34.3,,,,33.3,,,,32.9,,,,,,30.3,,,,
Belize,,,,,,,,,,,,,,,,,,,39.9,,,,,,,
Bolivia,61.6,57.4,59.3,,55.0,58.5,56.7,54.5,50.8,49.2,,46.1,46.6,47.6,47.8,46.7,45.2,44.6,42.6,41.6,43.6,40.9,41.2,42.1,40.9,
Bhutan,,,,40.9,,,,38.1,,,,,38.8,,,,,37.4,,,,,28.5,,,
Central African Republic,,,,,,,,,56.2,,,,,,,,,,,,,43.0,,,,
Cote d'Ivoire,,,41.3,,,,,,43.2,,,,,,,41.5,,,37.2,,,35.3,,,,
Cameroon,,42.1,,,,,,42.8,,,,,,,46.6,,,,,,,42.2,,,,
"Congo, Dem. Rep.",,,,,41.6,,,,,,,,42.1,,,,,,,,44.7,,,,,
"Congo, Rep.",,,,,,47.3,,,,,,48.9,,,,,,,,,,,,,,
Comoros,,,,,55.9,,,,,,,,,,45.3,,,,,,34.2,,,,30.3,
Cabo Verde,,52.5,,,,,,47.2,,,,,,,,42.4,,,,,,,,,,
Djibouti,,,40.0,,,,,,,,,,45.1,44.1,,,,41.6,,,,,,,,
Ethiopia,,,,,29.8,,,,,,33.2,,,,,35.0,,,,,,31.1,,,,
Fiji,,,38.1,,,,,,40.4,,,,,36.7,,,,,,30.7,,,,,,
"Micronesia, Fed. Sts.",,,,,,42.4,,,,,,,,40.1,,,,,,,,,,,,
Georgia,40.5,39.6,37.2,36.6,36.2,37.4,36.9,38.1,38.5,38.2,39.5,39.6,39.0,38.6,37.6,36.5,36.6,37.9,36.4,35.9,34.5,34.2,33.5,34.8,33.9,
Ghana,,,,,,42.8,,,,,,,42.4,,,,43.5,,,,,,,,,
Guinea,,,43.0,,,,,39.4,,,,,33.7,,,,,,29.6,,,,,,,
"Gambia, The",,,,47.3,,,,,,,43.6,,,,,35.9,,,,,38.8,,,,,
Guinea-Bissau,,,35.6,,,,,,,,50.6,,,,,,,,34.8,,,33.4,,,,
Grenada,,,,,,,,,,,,,,,,,,,43.8,,,,,,,
Honduras,,55.4,55.7,58.1,58.1,59.5,57.5,55.8,55.5,51.3,53.1,52.6,53.4,50.0,49.9,49.2,49.8,49.4,48.9,48.2,,,,46.8,45.7,
Haiti,,59.0,,,,,,,,,,,41.1,,,,,,,,,,,,,
Indonesia,30.3,31.2,30.2,29.3,30.4,29.9,31.5,33.2,32.6,33.4,34.6,37.9,37.1,38.9,38.8,38.2,36.9,36.4,36.3,35.4,35.3,35.5,35.5,36.1,34.9,34.4
India,,,,,27.7,,,,,27.8,,28.8,,,,,,,,,,,25.5,,,
Kenya,,,,,,46.4,,,,,,,,,,40.8,,,,,36.2,38.7,38.5,,,
Kyrgyz Republic,31.0,30.2,30.3,28.7,34.8,32.6,37.4,33.9,31.5,29.9,30.1,27.8,27.4,28.8,26.8,29.0,26.8,27.3,27.7,29.7,29.0,28.8,26.4,27.2,27.5,
Kiribati,,,,,,,37.0,,,,,,,,,,,,,27.8,,,,24.7,,
Lao PDR,,,32.6,,,,,35.4,,,,,36.0,,,,,,38.8,,,,,,34.7,
Liberia,,,,,,,,36.4,,,,,,,33.2,,35.3,,,,,,,,,
St. Lucia,,,,,,,,,,,,,,,,43.7,,,,,,,,,,
Sri Lanka,,,40.2,,,,39.7,,,36.1,,,38.7,,,,39.3,,,37.7,,,,,,
Lesotho,,,51.2,,,,,,,,,,,,,,,44.9,,,,,,,,
Moldova,36.4,38.0,35.8,34.9,35.0,36.3,35.4,34.4,34.7,32.9,32.1,30.6,29.2,28.5,26.8,27.0,26.3,25.9,25.7,26.0,25.0,25.7,25.9,26.8,,
Madagascar,,47.4,,,,39.9,,,,,42.4,,42.6,,,,,,,,,36.8,,,,
Maldives,,,41.3,,,,,,,38.4,,,,,,,31.3,,,29.3,,,,,,
Marshall Islands,,,,,,,,,,,,,,,,,,,,35.5,,,,,,
Mali,,39.9,,,,,38.9,,,33.0,,,,,,,,,36.0,,,35.7,,,,
Myanmar,,,,,,,,,,,,,,,,38.1,,30.7,,,,,,,,
Mongolia,,,32.9,,,,,35.8,,,33.1,33.9,33.8,,32.0,,32.3,,32.7,,,,31.4,,,
Mozambique,,,46.9,,,,,,45.5,,,,,,54.0,,,,,50.7,,,49.6,,,
Mauritania,39.0,,,,40.2,,,,35.7,,,,,,32.6,,,,,32.0,,,,,,
Malawi,,,,,39.9,,,,,,45.5,,,,,,44.7,,,38.5,,,,,,
Niger,,,,,,44.4,,37.3,,,,31.5,,,34.3,,,,37.3,,,32.9,,,,
Nigeria,,,,40.1,,,,,,,35.7,,35.5,,,35.9,,,35.1,,,,33.9,,,
Nicaragua,,52.9,,,,48.8,,,,43.9,,,,,46.2,,,,,,,,,,,
Nepal,,,,43.8,,,,,,,32.8,,,,,,,,,,,,30.0,,,
Pakistan,,28.7,,,30.9,31.3,,29.7,,,28.8,29.7,,29.5,,31.3,,,29.6,,,,,,33.5,
Papua New Guinea,,,,,,,,,,41.9,,,,,,,,,,,,,,,,
Rwanda,48.5,,,,,52.0,,,,,47.2,,,45.1,,,43.7,,,,,,,39.4,,
Sudan,,,,,,,,,,35.4,,,,,34.2,,,,,,,,,,,
Senegal,,41.2,,,,39.2,,,,,,40.3,,,,,,,38.3,,,36.2,,,,
Solomon Islands,,,,,,46.1,,,,,,,37.1,,,,,,,,,,,,,
Sierra Leone,,,,40.2,,,,,,,,34.0,,,,,,,35.7,,,,,,,
Serbia,,,32.7,32.8,35.5,36.5,29.7,28.7,27.6,28.0,29.0,,39.9,39.4,40.4,40.5,38.8,36.1,35.0,34.5,35.0,33.1,32.8,32.8,,
South Sudan,,,,,,,,,,46.3,,,,,,,44.0,,,,,,,,,
Sao Tome and Principe,32.1,,,,,,,,,,30.8,,,,,,,40.7,,,,,,,,
Suriname,,,,,,,,,,,,,,,,,,,,,,,39.2,,,
Eswatini,53.1,,,,,,,,,51.4,,,,,,,54.6,,,,,,,,,
Syrian Arab Republic,,,,37.5,,,40.1,,,40.4,,,,,,,,,,,,,26.4,,,
Chad,,,,39.8,,,,,,,,43.3,,,,,,,37.5,,,,37.4,,,
Togo,,,,,,,42.2,,,,,46.0,,,,43.0,,,42.5,,,37.9,,,,
Tajikistan,,,,32.7,33.6,,,32.2,,30.8,,,,,,34.0,,,,,,32.4,39.5,38.0,36.1,
Timor-Leste,,35.9,,,,,,27.8,,,,,,,28.7,,,,,,,,,,,
Tonga,37.7,,,,,,,,,37.5,,,,,,33.5,,,,,,27.1,,,,
Tuvalu,,,,,,,,,,,39.1,,,,,,,,,,,,,,,
Tanzania,37.3,,,,,,,40.3,,,,37.8,,,,,,,40.5,,,,,,,
Uganda,,,45.2,,,42.9,,,,44.2,,,41.0,,,,42.8,,,42.7,,,,,,
Uzbekistan,35.9,,33.0,35.2,,,,,,,,,,,,,,,,,,32.9,31.2,34.5,34.6,32.7
Viet Nam,,,37.0,,36.8,,35.8,,35.6,,39.3,,35.6,,34.8,,35.3,,35.7,,36.8,,36.1,,,
Vanuatu,,,,,,,,,,,37.4,,,,,,,,,32.3,,,,,,
Samoa,,,40.7,,,,,,42.0,,,,,38.7,,,,,,,,,,,,
"Yemen, Rep.",,,,,,34.7,,,,,,,,,36.7,,,,,,,,,,,
Zambia,,,42.1,,54.3,,54.6,,,,52.0,,,,,55.8,,,,,,,51.5,,,
Zimbabwe,,,,,,,,,,,,43.2,,,,,,44.3,,50.3,,,,,,
