,Country,Year,GINI,Education_Spend,Corruption,Regulation
0,Albania,2000,30.6,3.2,29.981,3.5
1,Armenia,2000,36.0,2.712,35.735,4.0
2,Azerbaijan,2000,26.6,2.975,24.423,3.5
3,"Congo, Rep.",2000,47.3,1.681,25.434,2.5
4,Georgia,2000,37.4,2.484,50.475,4.0
5,Ghana,2000,42.8,7.422,39.355,4.0
6,Indonesia,2000,29.9,2.873,24.877,3.0
7,Kenya,2000,46.4,7.336,26.681,4.0
8,Kyrgyz Republic,2000,32.6,4.874,20.696,3.5
9,Moldova,2000,36.3,7.163,29.001,4.0
10,Madagascar,2000,39.9,3.31,41.548,4.0
11,Pakistan,2000,31.3,1.671,26.109,4.0
12,Senegal,2000,39.2,4.064,44.126,3.5
13,Armenia,2001,29.7,2.716,35.127,4.0
14,Bolivia,2000,56.7,6.434,38.698,2.5
15,Georgia,2001,36.9,3.004,53.406,4.5
16,Kyrgyz Republic,2001,37.4,5.55,20.31,3.5
17,Moldova,2001,35.4,7.499,30.735,3.5
18,Togo,2000,42.2,2.432,26.155,3.0
19,Armenia,2002,31.2,3.019,33.572,4.0
20,Bolivia,2001,54.5,6.72,38.139,2.5
21,Cameroon,2000,42.8,2.878,31.106,3.0
22,Cabo Verde,2000,47.2,4.96,63.952,3.5
23,Georgia,2002,38.1,2.697,49.117,5.0
24,Kyrgyz Republic,2002,33.9,6.467,20.927,3.5
25,Lao PDR,2000,35.4,3.078,22.002,3.0
26,Moldova,2002,34.4,8.293,31.032,3.5
27,Mongolia,2000,35.8,4.69,34.844,3.5
28,Niger,2000,37.3,3.015,34.08,3.0
29,Pakistan,2001,29.7,2.235,30.728,4.0
30,Tajikistan,2000,32.2,3.413,26.338,3.5
31,Tanzania,2000,40.3,4.033,41.528,3.5
32,Armenia,2003,29.2,3.173,32.479,4.0
33,Bolivia,2002,50.8,6.723,36.807,2.5
34,Central African Republic,2000,56.2,1.29,24.638,2.0
35,Cote d'Ivoire,2000,43.2,3.099,29.289,3.0
36,Georgia,2003,38.5,2.92,50.263,5.5
37,Kyrgyz Republic,2003,31.5,5.913,21.362,4.0
38,Moldova,2003,34.7,8.237,31.614,3.5
39,Viet Nam,2000,35.6,4.887,40.649,3.5
40,Samoa,2000,42.0,5.117,53.413,3.5
41,Armenia,2004,28.0,3.841,32.969,4.0
42,Bolivia,2003,49.2,7.575,36.747,2.5
43,Georgia,2004,38.2,3.222,50.665,5.5
44,India,2000,27.8,3.278,40.866,3.5
45,Kyrgyz Republic,2004,29.9,6.233,20.674,3.5
46,Sri Lanka,2000,36.1,2.056,43.973,4.0
47,Moldova,2004,32.9,9.51,32.222,3.5
48,Maldives,2000,38.4,5.082,36.882,4.0
49,Mali,2000,33.0,3.144,37.481,3.5
50,Sudan,2000,35.4,2.022,18.927,3.0
51,Tajikistan,2001,30.8,4.098,22.185,3.0
52,Armenia,2005,30.0,3.249,34.265,4.0
53,Ethiopia,2000,33.2,4.497,33.691,3.5
54,Georgia,2005,39.5,2.762,52.949,5.5
55,"Gambia, The",2000,43.6,2.563,33.752,3.5
56,Guinea-Bissau,2000,50.6,1.682,25.135,2.5
57,Kyrgyz Republic,2005,30.1,5.819,24.727,3.5
58,Moldova,2005,32.1,7.592,33.931,3.5
59,Madagascar,2001,42.4,2.289,39.956,3.0
60,Mongolia,2001,33.1,4.645,35.142,3.5
61,Malawi,2000,45.5,2.432,38.939,3.0
62,Nepal,2000,32.8,3.632,33.126,3.0
63,Pakistan,2002,28.8,2.053,23.52,3.5
64,Rwanda,2000,47.2,4.631,53.479,4.0
65,Sao Tome and Principe,2000,30.8,9.988,43.301,2.5
66,Viet Nam,2001,39.3,4.046,39.523,3.5
67,Zambia,2000,52.0,3.416,40.385,3.5
68,Armenia,2006,29.4,3.144,34.143,4.0
69,Bolivia,2004,46.1,6.451,36.152,2.5
70,"Congo, Rep.",2001,48.9,2.647,25.129,2.5
71,Georgia,2006,39.6,2.515,54.284,5.5
72,India,2001,28.8,3.796,37.922,3.0
73,Kyrgyz Republic,2006,27.8,6.791,23.345,3.5
74,Moldova,2006,30.6,7.136,34.628,3.5
75,Mongolia,2002,33.9,4.609,36.068,3.5
76,Niger,2001,31.5,3.078,37.51,3.0
77,Pakistan,2003,29.7,2.001,23.153,3.0
78,Senegal,2001,40.3,4.903,40.326,4.0
79,Sierra Leone,2000,34.0,1.615,34.36,3.0
80,Chad,2000,43.3,1.647,20.214,2.0
81,Togo,2001,46.0,3.078,30.655,2.5
82,Tanzania,2001,37.8,4.578,37.193,3.5
83,Armenia,2007,29.6,2.772,35.338,4.0
84,Bolivia,2005,46.6,6.628,33.708,2.5
85,Djibouti,2000,45.1,6.351,36.765,3.5
86,Georgia,2007,39.0,1.86,58.383,5.5
87,Ghana,2001,42.4,7.919,47.489,4.5
88,Guinea,2000,33.7,1.834,24.505,2.5
89,Honduras,2000,53.4,6.3,25.68,3.0
90,Kyrgyz Republic,2007,27.4,7.384,24.378,3.5
91,Lao PDR,2001,36.0,1.821,24.683,3.5
92,Sri Lanka,2001,38.7,1.453,41.648,4.0
93,Moldova,2007,29.2,6.983,33.287,3.5
94,Madagascar,2002,42.6,2.341,35.46,3.0
95,Mongolia,2003,33.8,5.195,35.591,3.5
96,Nigeria,2000,35.5,0.549,24.644,3.5
97,Uganda,2000,41.0,1.797,30.513,4.0
